"","state","year","years_since_other_party","change_counter","years_till_change","change_within_4years","change_next_year","Population","LF_population","LF_population_percent","employed_population","participation_rate","unemployed_population","unemployment_rate","gdp_change","gdp","gdp_pchange","gdp_ma8","gdp_ma4","uer_ma8","uer_ma4","gdp_pchange_ma4","gdp_pchange_ma8","gdp_ma4_8_diff","uer_ma4_8_diff","gdp_pchange_ma4_8_diff"
"42","Florida",2000,1,5,NA,FALSE,FALSE,12489279.75,7857434.41666667,62.9083333333333,7566144.66666667,60.575,291289.75,3.71666666666667,18717.44,459808.68,4.07,390784.4275,429011.18,5.11666666666666,4.175,4.845,4.52125,38226.7525000001,-0.941666666666665,0.32375
"43","Washington",1994,-9,8,NA,FALSE,FALSE,4036254.41666667,2739095,67.8583333333333,2560033.5,63.4166666666667,179061.5,6.53333333333333,5380.19999999998,159469.9,3.37,141630.5,152213.475,6.54479166666666,6.89375,2.8675,3.97625,10582.975,0.348958333333336,-1.10875
"44","Mississippi",2004,0,3,NA,FALSE,FALSE,2135239.16666667,1313041.91666667,61.5,1232198.08333333,57.7083333333333,80843.8333333333,6.15833333333333,1390.03,65579.22,2.12,61837.53125,63081.6925,5.75520833333334,6.14791666666667,1.5275,1.4625,1244.16125000002,0.392708333333331,0.0649999999999993
"45","Mississippi",1991,-54,0,1,TRUE,TRUE,1915134.91666667,1184437.58333333,61.8416666666667,1083032.33333333,56.5666666666667,101405.25,8.54166666666667,988.300000000003,45840.8,2.16,42908.075,44903.625,9.33333333333334,8.1,1.4525,2.66125,1995.55000000001,-1.23333333333333,-1.20875
"46","Oregon",2002,-15,6,NA,FALSE,FALSE,2720797.41666667,1835520.83333333,67.4583333333333,1697545.5,62.3833333333333,137975.333333333,7.50833333333333,2161.71000000001,98642.5,2.19,93138.76875,95461.385,5.81875,6.1375,2.9,2.7775,2322.61625000002,0.318749999999999,0.122500000000004
"47","Louisiana",1997,1,5,7,FALSE,FALSE,3244010.41666667,2021435.83333333,62.3166666666667,1900144.16666667,58.5666666666667,121291.666666667,6,4514.40000000001,126003.3,3.58,113817.375,120495.35,7.071875,6.85625,4.355,1.81125,6677.97499999999,-0.215625000000003,2.54375
"48","Missouri",2000,-7,6,5,FALSE,FALSE,4235659.75,2960416.08333333,69.9,2854070.16666667,67.3833333333333,106345.916666667,3.58333333333333,5520.14999999999,175005.66,3.15,153508.29125,166942.6575,4.51666666666666,3.84166666666666,3.7325,3.83125,13434.36625,-0.675,-0.0987499999999994
"49","Oregon",2005,-18,6,NA,FALSE,FALSE,2823512.91666667,1845832.41666667,65.3916666666667,1731856.08333333,61.3416666666667,113976.333333333,6.18333333333333,4067.64999999999,112116.15,3.63,99046.62625,105419.14,6.48645833333334,7.27916666666667,3.68,1.1775,6372.51375000003,0.792708333333332,2.5025
"50","Virginia",2003,-1,4,NA,FALSE,FALSE,5518251.58333333,3752862.75,68.0166666666667,3598180.75,65.2,154682,4.125,9946.32000000001,268396.38,3.71,238059.95125,257374.485,3.47604166666667,3.47083333333333,3.075,4.00375,19314.5337499999,-0.00520833333333748,-0.928749999999999
"51","Colorado",1991,-16,6,8,FALSE,FALSE,2542584,1794826,70.5916666666667,1700644.16666667,66.8916666666667,94181.8333333333,5.25833333333333,1847.60000000001,90780.1,2.04,85039.2375,88122.575,6.14791666666667,5.65625,2.12,2.1925,3083.33750000001,-0.491666666666666,-0.0725000000000002
"52","Nebraska",1989,2,9,2,TRUE,FALSE,1193750,816759.666666667,68.4083333333333,792891,66.4166666666667,23868.6666666667,2.91666666666667,1084.4,37388.6,2.9,34299.9,35576.875,4.59791666666667,3.975,1.6825,1.515,1276.97500000001,-0.622916666666667,0.1675
"53","Oregon",1992,-5,6,NA,FALSE,FALSE,2292833.33333333,1554107.41666667,67.7916666666667,1439213.33333333,62.7583333333333,114894.083333333,7.375,2550,68518.6,3.72,61055.0125,65415.05,6.7,6.17083333333333,3.0325,3.19875,4360.03750000002,-0.529166666666669,-0.166249999999999
"54","Montana",1986,-17,4,3,TRUE,FALSE,600333.333333333,401776.416666667,66.9166666666667,369915.25,61.625,31861.1666666667,7.925,-113.700000000001,14521.4,-0.78,14953.1625,14777.725,7.30416666666667,7.94791666666666,-0.6775,-0.3875,-175.437499999998,0.643749999999997,-0.29
"55","Massachusetts",1990,-15,10,1,TRUE,TRUE,4713235.08333333,3205394,68,3003520.41666667,63.725,201873.583333333,6.3,-5879.09999999998,189729.7,-3.1,174791.0625,190917.35,4.54479166666667,4.23541666666667,2.26,4.17,16126.2875,-0.309374999999998,-1.91
"56","Louisiana",1996,0,5,8,FALSE,FALSE,3219754.91666667,1988921.66666667,61.775,1857789.58333333,57.6916666666667,131132.083333333,6.6,1155.59999999999,121488.9,0.95,111581.55,115318.425,7.31458333333334,7.26666666666667,4.02,1.36125,3736.875,-0.0479166666666702,2.65875
"57","Arizona",1987,0,7,1,TRUE,TRUE,2511000,1618199.58333333,64.4583333333333,1513836.08333333,60.2833333333333,104363.5,6.45,3053.8,76599.8,3.99,64032.4625,71220.175,7.084375,6.22083333333333,6.315,4.2475,7187.71250000002,-0.863541666666666,2.0675
"58","Hawaii",1993,-30,1,10,FALSE,FALSE,850657.666666667,586583.083333333,68.9583333333333,560171.416666667,65.8583333333333,26411.6666666667,4.50833333333333,-682,40152.4,-1.7,36814.15,39979.6,3.5875,3.6,2.2175,3.55375,3165.44999999999,0.0125000000000024,-1.33625
"59","Massachusetts",2001,10,11,6,FALSE,FALSE,4972559.41666667,3380748.75,68.0083333333333,3254755.75,65.4583333333333,125993,3.725,2091.84,258573.99,0.81,227099.27125,243998.5425,4.07083333333333,3.225,3.155,3.8875,16899.27125,-0.845833333333329,-0.732499999999999
"60","Indiana",1995,-6,6,10,FALSE,FALSE,4431231.25,3134788.83333333,70.7416666666667,2990883.25,67.5,143905.583333333,4.60833333333333,4628.09999999998,153785.3,3.01,135922.625,145006.475,5.34479166666667,5.35416666666666,4.435,3.29625,9083.85000000003,0.00937499999999503,1.13875
"61","Oklahoma",1992,-1,4,3,TRUE,FALSE,2389341.41666667,1516691.5,63.475,1425599.41666667,59.6666666666667,91092.0833333333,6,1601.59999999999,69025.2,2.32,66620.2125,67563.475,6.59375,5.91458333333333,0.9075,0.33375,943.262499999997,-0.679166666666666,0.57375
"62","Nebraska",2002,3,11,NA,FALSE,FALSE,1298974.16666667,954461.333333333,73.4833333333333,919633.5,70.8083333333333,34827.8333333333,3.65,1010.49000000001,55537.05,1.82,51399.745,53700.54,2.85208333333333,3.09791666666667,2.465,2.3675,2300.795,0.245833333333332,0.0975000000000015
"63","New York",1989,-14,4,6,FALSE,FALSE,13805166.6666667,8699827.5,63.025,8266545.66666667,59.875,433281.833333333,4.975,-1058.90000000002,594266.7,-0.18,535969.7,573074.275,6.41041666666666,5.08958333333333,2.9675,2.8725,37104.5750000002,-1.32083333333333,0.0949999999999989
"64","Maine",1989,2,9,6,FALSE,FALSE,927500,614802.416666667,66.275,589934,63.6,24868.4166666667,4.05,538.200000000001,27882.4,1.93,23673.6875,26133.35,5.71354166666667,4.33541666666667,4.825,4.42125,2459.6625,-1.378125,0.40375
"65","Alabama",2005,2,5,NA,FALSE,FALSE,3477390.66666667,2146205.75,61.7166666666667,2049860.33333333,58.9416666666667,96345.4166666667,4.5,4220.23000000001,128575.66,3.28,114872.28375,120895,5.115625,5.53125,3.675,2.505,6022.71625000003,0.415624999999996,1.17
"66","Indiana",1987,18,5,2,TRUE,FALSE,4158416.66666667,2758242.16666667,66.3333333333333,2586544.33333333,62.1916666666667,171697.833333333,6.225,4298.8,117396.6,3.66,106842.1,112762.65,9.01875,7.36041666666666,3.86,0.9375,5920.55000000003,-1.65833333333334,2.9225
"67","New Mexico",2001,6,11,2,TRUE,FALSE,1353306.91666667,857953.5,63.4,815715,60.2833333333333,42238.5,4.925,69.0800000000017,50070.89,0.14,46717.47125,48922.3425,6.00833333333333,5.36875,0.637499999999997,3.455,2204.87124999997,-0.639583333333327,-2.8175
"68","Maryland",1994,-25,5,9,FALSE,FALSE,3794944.66666667,2681438.25,70.6583333333333,2540321.5,66.925,141116.75,5.25833333333333,5082.89999999999,142085.8,3.58,134164.1125,136874.65,5.15104166666667,6.08125,1.0425,2.36625,2710.53750000003,0.930208333333332,-1.32375
"69","Nebraska",1990,3,9,1,TRUE,TRUE,1162186.58333333,825081.666666667,70.9916666666667,805614,69.3083333333333,19467.6666666667,2.35,1622.7,39011.3,4.16,35159.4125,36763.8,4.18333333333333,3.31041666666667,3.1725,2.34375,1604.3875,-0.872916666666668,0.828750000000001
"70","North Dakota",1992,-7,6,1,TRUE,TRUE,466195.416666667,315890.333333333,67.775,300933.25,64.55,14957.0833333333,4.75,1057.7,14175.9,7.46,13087.075,13297.1,4.82916666666667,4.36041666666666,3.99,0.38375,210.024999999998,-0.468750000000002,3.60625
"71","Iowa",1989,20,5,10,FALSE,FALSE,2154000,1508693.83333333,70.0416666666667,1445469.66666667,67.125,63224.1666666667,4.19166666666667,2156.4,61635.5,3.5,56263.35,58228.275,6.49895833333333,5.23125,2.3375,0.65,1964.925,-1.26770833333333,1.6875
"72","Massachusetts",1999,8,11,8,FALSE,FALSE,4894362.75,3354300.83333333,68.55,3247452.91666667,66.3666666666667,106847.916666667,3.175,12080.45,236509.24,5.11,209489.95375,225529.1075,5.19791666666667,3.70625,3.6875,3.06375,16039.15375,-1.49166666666666,0.623750000000002
"73","Hawaii",1985,-22,1,18,FALSE,FALSE,730666.666666667,479218.583333333,65.575,453369.25,62.05,25849.3333333333,5.39166666666667,994.200000000001,29973,3.32,27202.2375,28437.65,5.903125,5.8875,2.8825,2.88875,1235.4125,-0.0156249999999982,-0.0062499999999992
"74","Oregon",1990,-3,6,NA,FALSE,FALSE,2193841.41666667,1490159.25,67.925,1408108.58333333,64.1916666666667,82050.6666666667,5.5,2588.2,64880.6,3.99,57058.6625,61182.25,7.50520833333334,5.73333333333333,3.9775,3.3925,4123.58750000002,-1.771875,0.585000000000001
"75","Maine",1987,0,9,8,FALSE,FALSE,897916.666666667,584786.25,65.125,559213.916666667,62.2833333333333,25572.3333333333,4.375,1546,25426.4,6.08,21599.875,23520.525,6.62395833333333,5.33958333333333,5.27,3.61625,1920.65,-1.284375,1.65375
"76","Alaska",1993,0,7,1,TRUE,TRUE,403383.583333333,295457.166666667,73.2583333333333,272681.5,67.5916666666667,22775.6666666667,7.70833333333333,-102.900000000001,26047.8,-0.4,27262.925,26698.075,8.66354166666667,8.07916666666667,-2.8275,-2.185,-564.850000000002,-0.584374999999996,-0.642499999999999
"77","Washington",1995,-10,8,NA,FALSE,FALSE,4118589.66666667,2811603.33333333,68.275,2630537.25,63.875,181066.083333333,6.425,712.600000000006,160182.5,0.44,146604.175,155996.725,6.43125,6.9125,2.4425,3.49125,9392.55000000002,0.481250000000002,-1.04875
"78","New Jersey",1995,1,7,7,FALSE,FALSE,6196852.66666667,4122009,66.5166666666667,3857821.58333333,62.2666666666667,264187.416666667,6.40833333333333,6375.29999999999,271763.7,2.35,257443.175,263480.375,6.109375,7.30416666666667,1.7975,1.99125,6037.20000000013,1.19479166666667,-0.193749999999999
"79","Iowa",2000,-1,6,NA,FALSE,FALSE,2233091.08333333,1590318,71.2166666666667,1548543.75,69.3583333333333,41774.25,2.625,3946.51999999999,86048.73,4.59,78054.76,82904.97,3.20104166666667,2.76666666666667,2.11,3.05125,4850.20999999999,-0.434375000000001,-0.94125
"80","Michigan",1990,-7,6,1,TRUE,TRUE,7014564.16666667,4606995.66666667,65.6833333333333,4255785.91666667,60.6833333333333,351209.75,7.63333333333333,-4690.70000000001,229533.5,-2.04,218353.1625,228920.775,9.371875,7.65,1.16,3.0425,10567.6124999999,-1.72187500000001,-1.8825
"81","Oklahoma",1990,3,3,1,TRUE,TRUE,2346785.41666667,1522726.25,64.9,1436261.16666667,61.2,86465.0833333333,5.68333333333333,361.5,67083.3,0.54,65935.675,65957.975,6.9875,6.25625,0.92,-0.0800000000000001,22.2999999999884,-0.73125,1
"82","Georgia",2003,0,1,NA,FALSE,FALSE,6465778.41666667,4394119.33333333,67.9583333333333,4181876.16666667,64.675,212243.166666667,4.825,7536.32000000001,293149.73,2.57,265287.25625,285682.055,4.36354166666667,4.36041666666667,2.075,4.09875,20394.7987500001,-0.00312499999999982,-2.02375
"83","Nevada",2000,1,7,NA,FALSE,FALSE,1522647.5,1067197.25,70.0916666666667,1022727.25,67.1583333333333,44470,4.16666666666667,2920.37999999999,73974.95,3.95,58759.025,67751.575,5.04895833333333,4.19166666666667,6.8075,7.215,8992.54999999997,-0.857291666666661,-0.407500000000001
"84","Tennessee",1990,-3,4,5,FALSE,FALSE,3765396.16666667,2394712.25,63.6083333333333,2265884.5,60.1916666666667,128827.75,5.38333333333333,-574.800000000003,110320.8,-0.52,100678.5625,108974.125,7.353125,5.72083333333333,2.885,3.785,8295.56250000007,-1.63229166666667,-0.9
"85","Wisconsin",2005,-2,9,NA,FALSE,FALSE,4285260.58333333,3020718.66666667,70.4916666666667,2878253.83333333,67.1583333333333,142464.833333333,4.71666666666667,4421.78,186574.59,2.37,170642.31375,179103.975,4.421875,5.20625,2.6075,2.605,8461.66125000003,0.784374999999997,0.00250000000000039
"86","Hawaii",1991,-28,1,12,FALSE,FALSE,826509.833333333,571603.666666667,69.1583333333333,555206.166666667,67.1833333333333,16397.5,2.875,579.799999999996,39755.7,1.46,34059.775,37540.375,3.865625,2.81666666666667,4.9825,4.3025,3480.6,-1.04895833333333,0.68
"87","Texas",2006,11,5,NA,FALSE,FALSE,17004846.4166667,11328517.75,66.6166666666667,10773134.25,63.35,555383.5,4.89166666666667,55640.77,867359.05,6.41,763195.68375,805057.35,5.4,5.73333333333333,3.6575,3.25125,41861.66625,0.33333333333333,0.406250000000001
"88","South Dakota",1998,19,4,NA,FALSE,FALSE,551772,399439.416666667,72.4,388297.666666667,70.3666666666667,11141.75,2.79166666666667,-2436.31,17328.29,-14.06,17757.71125,18755.6725,3.16875,2.98125,-1.4075,1.86125,997.961250000004,-0.187500000000003,-3.26875
"89","Indiana",2001,-12,6,4,TRUE,FALSE,4630122.5,3139453.25,67.8,3006658.08333333,64.95,132795.166666667,4.23333333333333,-3613.28,184061.77,-1.96,169796.91,182011.52,3.81354166666667,3.375,2.3175,3.285,12214.61,-0.438541666666672,-0.967500000000002
"90","New Mexico",1985,-14,8,2,TRUE,FALSE,1027666.66666667,649608.666666667,63.2166666666667,595475.833333333,57.95,54132.8333333333,8.33333333333333,976.800000000003,27134.9,3.6,24967.5625,25695.775,7.78020833333333,8.7625,2.05,2.3625,728.212499999994,0.982291666666669,-0.3125
"91","Alabama",1991,4,1,2,TRUE,FALSE,3115005.25,1921074.08333333,61.6666666666667,1779884.83333333,57.125,141189.25,7.35,2349.10000000001,86115.5,2.73,79037.1125,83699.275,8.28541666666667,7.09375,2.2225,3.015,4662.16250000003,-1.19166666666667,-0.792499999999999
"92","Delaware",1998,-5,8,NA,FALSE,FALSE,581547,394876.333333333,67.9083333333333,380252.916666667,65.4,14623.4166666667,3.70833333333333,2601.47,34051.67,7.64,29468.64625,31486.5425,4.825,4.28333333333333,4.1175,3.3325,2017.89624999999,-0.541666666666667,0.785000000000001
"93","Rhode Island",1987,2,7,4,TRUE,FALSE,762250,516988.666666667,67.8333333333333,498251.25,65.3666666666667,18737.4166666667,3.63333333333333,1008.8,23870.7,4.23,20415.4375,22227.05,6.35625,4.46041666666667,5.435,3.26375,1811.6125,-1.89583333333333,2.17125
